
#KeplerID	Period	Rp/Rstar
002159129     243.00     0.04
002159132       3.00     0.04
002159257       3.00     0.03
002159290     243.00     0.03
002159320     243.00     0.04
002159370     243.00     0.02
002159377       3.00     0.02
002159447     243.00     0.01
002159449       3.00     0.01
002159486      81.00     0.02
002159499      81.00     0.04
002159674      81.00     0.02
002159700       9.00     0.02
002159713       3.00     0.02
002159728      81.00     0.04
002159751      81.00     0.02
002159783      81.00     0.03
002159823       3.00     0.03
002159834       3.00     0.02
002159842     243.00     0.02
002159852       9.00     0.04
002159864      27.00     0.04
002160105       9.00     0.03
002160161      81.00     0.02
002160275     243.00     0.02
002160289      81.00     0.02
002160553       9.00     0.03
002160572      27.00     0.04
002160685       3.00     0.04
002160771     243.00     0.01
002160779     243.00     0.03
002160809     243.00     0.03
002160839      81.00     0.04
002160857       9.00     0.01
002160901      27.00     0.03
002160910      27.00     0.03
002160919       3.00     0.01
002161017      81.00     0.03
002161064       3.00     0.03
002161177       9.00     0.04
002161250      27.00     0.04
002161283       3.00     0.01
002161393       9.00     0.03
002161400      27.00     0.04
002161407       9.00     0.04
002161409      81.00     0.02
002161463       3.00     0.03
002161515       3.00     0.02
002161532       9.00     0.03
002161536     243.00     0.04
002161569       3.00     0.04
002161623     243.00     0.02
002161648     243.00     0.04
002161731     243.00     0.03
002161831     243.00     0.01
002161864       9.00     0.03
002161949     243.00     0.02
002161974       9.00     0.04
002161984       9.00     0.03
002162064       3.00     0.04
002162070      27.00     0.01
002162073     243.00     0.02
002162103       3.00     0.03
002162142       9.00     0.03
002162160      27.00     0.04
002162241       3.00     0.03
002162268       3.00     0.03
002162283      81.00     0.01
002162333      27.00     0.03
002162355       3.00     0.03
002162377       9.00     0.04
002162435       3.00     0.03
002162486       9.00     0.01
002162543      81.00     0.04
002162635      81.00     0.03
002162673      81.00     0.01
002162721      27.00     0.02
002162904     243.00     0.04
002162907      27.00     0.04
002162994      81.00     0.03
002163052       9.00     0.03
002163101      81.00     0.04
002163121     243.00     0.04
002163201       9.00     0.03
002163223       3.00     0.04
002163226       3.00     0.01
002163301      81.00     0.03
002163326      81.00     0.04
002163351      27.00     0.01
002163434      81.00     0.02
002163444      81.00     0.04
002163457     243.00     0.03
002163489       9.00     0.03
002163554      27.00     0.03
002163597       9.00     0.01
002163605       3.00     0.04
002163610       3.00     0.01
002163612       3.00     0.01
002163634       9.00     0.02
002163636      27.00     0.04
002163644      81.00     0.02
002163666     243.00     0.04
002163706      27.00     0.04
002163708      81.00     0.02
002163798       9.00     0.04
002163808       3.00     0.02
002163829     243.00     0.02
002163856       3.00     0.03
002163875       9.00     0.03
002163894       9.00     0.03
002163896      81.00     0.03
002163926       9.00     0.03
002163940      81.00     0.04
002163957      27.00     0.03
002163982      81.00     0.02
002164021       9.00     0.03
002164031       3.00     0.04
002164035      27.00     0.04
002164066     243.00     0.02
002164105      27.00     0.04
002164117      81.00     0.01
002164123       3.00     0.03
002164157       3.00     0.02
002164165      27.00     0.04
002164169      81.00     0.03
002164190       3.00     0.02
002164213       9.00     0.01
002164227       3.00     0.01
002164232      81.00     0.03
002164262      27.00     0.02
002164327      81.00     0.04
002164332       9.00     0.02
002164379      81.00     0.03
002164488       9.00     0.04
002164522      27.00     0.03
002164598       3.00     0.01
002164604       9.00     0.03
002164654     243.00     0.03
002164688      81.00     0.01
002164726      27.00     0.03
002164739      27.00     0.02
002164772      81.00     0.04
002164790      81.00     0.04
002164791      81.00     0.01
002164834       9.00     0.04
002164874     243.00     0.03
002164884     243.00     0.04
002164930       9.00     0.01
002164951       3.00     0.03
002164995     243.00     0.04
002165002       3.00     0.04
002165066      27.00     0.02
002165095     243.00     0.01
002165181       3.00     0.02
002165188       3.00     0.03
002165198      27.00     0.04
002165271      81.00     0.02
002165352      81.00     0.01
002165356       9.00     0.04
002165357       3.00     0.03
002165371      27.00     0.02
002165440     243.00     0.01
002165450       9.00     0.03
002165469       3.00     0.01
002165478      81.00     0.03
002165516     243.00     0.02
002165531       9.00     0.02
002165554     243.00     0.03
002165574      27.00     0.04
002165589       9.00     0.03
002165615     243.00     0.03
002165710       9.00     0.04
002165718     243.00     0.01
002165722       9.00     0.04
002165742      81.00     0.02
002165744     243.00     0.04
002165797       3.00     0.02
002165801      27.00     0.04
002165811     243.00     0.04
002165867      27.00     0.01
002165871       9.00     0.04
002165874      27.00     0.03
002165892       9.00     0.04
002165894      27.00     0.02
002165942      27.00     0.01
002165983       3.00     0.03
002166071      27.00     0.03
002166119      81.00     0.02
002166152       9.00     0.01
002166200       3.00     0.01
002166206       3.00     0.01
002166209      81.00     0.03
002166218       3.00     0.03
002166223     243.00     0.01
002166231       9.00     0.01
002166291      27.00     0.04
002166322       3.00     0.03
002166332      27.00     0.03
002166336      27.00     0.03
002166339       9.00     0.01
002166352      81.00     0.04
002166371       9.00     0.04
002166393      27.00     0.03
002166515      81.00     0.03
002166534       9.00     0.02
002166547      27.00     0.04
002166579       9.00     0.04
002166590     243.00     0.03
002166594       9.00     0.04
002166605      27.00     0.02
002166620       9.00     0.04
002166632     243.00     0.02
002166709     243.00     0.04
002166766     243.00     0.01
002166769      81.00     0.04
002166773      27.00     0.02
002166774     243.00     0.02
002166860       9.00     0.02
002166874      27.00     0.04
002166915     243.00     0.04
002166920       9.00     0.04
002166932       9.00     0.03
002166940       9.00     0.01
002166962      81.00     0.04
002166970     243.00     0.03
002166973       9.00     0.02
002167000      27.00     0.04
002167039     243.00     0.04
002167056      27.00     0.02
002167058     243.00     0.04
002167062       3.00     0.04
002167098       9.00     0.04
002167128       3.00     0.02
002167151       9.00     0.04
002167183      27.00     0.03
002167198      81.00     0.01
002167260      27.00     0.04
002167272       9.00     0.04
002167334       3.00     0.02
002167351     243.00     0.04
002167385     243.00     0.03
002167392      27.00     0.02
002167437      27.00     0.03
002167439       3.00     0.02
002167444     243.00     0.03
002167447      27.00     0.03
002167468      27.00     0.04
002167501       9.00     0.03
002167548      27.00     0.03
002167555       3.00     0.01
002167587      81.00     0.04
002167600       9.00     0.04
002167648     243.00     0.01
002167663      81.00     0.03
002167693       9.00     0.04
002167696     243.00     0.04
002167728      27.00     0.01
002167743     243.00     0.04
002167774       9.00     0.02
002167783       9.00     0.02
002167841       9.00     0.03
002167890       3.00     0.01
002167920       3.00     0.04
002167997       3.00     0.04
002168184       3.00     0.02
002168263      27.00     0.01
002168321       9.00     0.03
002168333      27.00     0.01
002168387       3.00     0.03
002168417       9.00     0.04
002168420       9.00     0.03
002168461       9.00     0.01
002168508     243.00     0.03
002168638      81.00     0.02
002168649     243.00     0.02
